Index,car & license plates img,license plates in txt,vehicle type,vehicle model & other info
1195,"['https://img03.platesmania.com/220105/m/18259224.jpg', 'https://img03.platesmania.com/220105/inf/182592241122c1.png']",01 W 006 AA,Chevrolet Lacetti,['Tashkent']
1196,"['https://img03.platesmania.com/220105/m/18259212.jpg', 'https://img03.platesmania.com/220105/inf/1825921270436c.png']",10 Z 005 AA,Chevrolet Lacetti,['Tashkent region']
1197,"['https://img03.platesmania.com/220105/m/18259201.jpg', 'https://img03.platesmania.com/220105/inf/1825920168abb1.png']",10 X 004 AA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent region']"
1198,"['https://img03.platesmania.com/220105/m/18259185.jpg', 'https://img03.platesmania.com/220105/inf/1825918598f84f.png']",10 H 004 AA,Chevrolet Lacetti,['Tashkent region']
1199,"['https://img03.platesmania.com/220105/m/18259160.jpg', 'https://img03.platesmania.com/220105/inf/18259160b486f2.png']",25 M 600 FA,Hyundai H-1,['Tashkent Первый Hyundai с 25 региона UZ.']
1200,"['https://img03.platesmania.com/220105/m/18259143.jpg', 'https://img03.platesmania.com/220105/inf/18259143123a7b.png']",10 O 001 QA,Chevrolet Lacetti,['Tashkent']
1201,"['https://img03.platesmania.com/220105/m/18259122.jpg', 'https://img03.platesmania.com/220105/inf/1825912244cb96.png']",01 B 888 MB,Chevrolet Tracker,"['4th gen, 2019-present', 'Tashkent']"
1202,"['https://img03.platesmania.com/220105/m/18259109.jpg', 'https://img03.platesmania.com/220105/inf/18259109531721.png']",10 G 002 SA,Opel Omega,['Tashkent region']
1203,"['https://img03.platesmania.com/220105/m/18259100.jpg', 'https://img03.platesmania.com/220105/inf/182591008fe726.png']",01 A 001 LA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1204,"['https://img03.platesmania.com/220105/m/18259083.jpg', 'https://img03.platesmania.com/220105/inf/182590836836e7.png']",01 O 777 CA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1205,"['https://img03.platesmania.com/220105/m/18259075.jpg', 'https://img03.platesmania.com/220105/inf/18259075e4e13e.png']",10 T 999 BA,KIA Forte,"['1st gen Sedan (TD), 2009–2013', 'Tashkent']"
1206,"['https://img03.platesmania.com/220105/m/18259038.jpg', 'https://img03.platesmania.com/220105/inf/18259038e632f3.png']",10 U 300 TA,SsangYong Stavic,['Tashkent region Первый SsangYong Stavic в узбекской галерее']
1207,"['https://img03.platesmania.com/220105/m/18258934.jpg', 'https://img03.platesmania.com/220105/inf/18258934b8eae9.png']",10 X 900 AA,Chevrolet Captiva,['Tasheknt region']
1208,"['https://img03.platesmania.com/220105/m/18258916.jpg', 'https://img03.platesmania.com/220105/inf/18258916e844c3.png']",01 S 800 NA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1209,"['https://img03.platesmania.com/220105/m/18258900.jpg', 'https://img03.platesmania.com/220105/inf/1825890046b20a.png']",10 H 800 RA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1210,"['https://img03.platesmania.com/220105/m/18258893.jpg', 'https://img03.platesmania.com/220105/inf/18258893f1b37b.png']",80 S 100 MA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1211,"['https://img03.platesmania.com/220105/m/18258850.jpg', 'https://img03.platesmania.com/220105/inf/18258850b4f62f.png']",01 A 005 DB,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1212,"['https://img03.platesmania.com/220105/m/18258840.jpg', 'https://img03.platesmania.com/220105/inf/182588402c8b1d.png']",01 J 007 JA,Chevrolet Equinox,"['3rd gen (D2XX), 2017–2021', 'Tashkent']"
1213,"['https://img03.platesmania.com/220105/m/18258818.jpg', 'https://img03.platesmania.com/220105/inf/18258818e2ccb4.png']",01 L 003 MB,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1214,"['https://img03.platesmania.com/220105/m/18258811.jpg', 'https://img03.platesmania.com/220105/inf/18258811660e92.png']",01 L 003 JA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1215,"['https://img03.platesmania.com/220105/m/18258799.jpg', 'https://img03.platesmania.com/220105/inf/182587996fc27d.png']",01 Q 500 OA,Chevrolet Captiva,['Tashkent']
1216,"['https://img03.platesmania.com/220105/m/18258774.jpg', 'https://img03.platesmania.com/220105/inf/1825877481f8c7.png']",10 G 333 UA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent region']"
1217,"['https://img03.platesmania.com/220105/m/18258759.jpg', 'https://img03.platesmania.com/220105/inf/182587590b26f9.png']",10 T 500 UA,Chevrolet Tracker,"['3rd gen (U200), facelift, 2017-2022', 'Tashkent region']"
1218,"['https://img03.platesmania.com/220105/m/18258741.jpg', 'https://img03.platesmania.com/220105/inf/182587417fd977.png']",10 K 009 RA,Chevrolet Tracker,"['3rd gen (U200), facelift, 2017-2022', 'Tashkent region']"
1219,"['https://img03.platesmania.com/220105/m/18258715.jpg', 'https://img03.platesmania.com/220105/inf/1825871530f1ca.png']",40 S 700 QA,Chevrolet Lacetti,['Tashkent']
1220,"['https://img03.platesmania.com/220105/m/18258695.jpg', 'https://img03.platesmania.com/220105/inf/18258695e3d0fc.png']",01 Q 005 QA,Chevrolet Lacetti,['Tashkent']
1221,"['https://img03.platesmania.com/220105/m/18258683.jpg', 'https://img03.platesmania.com/220105/inf/18258683f2d7a3.png']",10 S 002 SA,Chevrolet Lacetti,['Tashkent']
1222,"['https://img03.platesmania.com/220105/m/18258573.jpg', 'https://img03.platesmania.com/220105/inf/1825857397f3c1.png']",01 X 999 JA,Chevrolet Lacetti,['Tashkent']
1223,"['https://img03.platesmania.com/220105/m/18258561.jpg', 'https://img03.platesmania.com/220105/inf/18258561f3190f.png']",01 E 999 EB,Chevrolet Lacetti,['Tashkent']
1224,"['https://img03.platesmania.com/220105/m/18258540.jpg', 'https://img03.platesmania.com/220105/inf/18258540b32d50.png']",10 Q 900 BA,Chevrolet Lacetti,['Tashkent region']
1225,"['https://img03.platesmania.com/220105/m/18258525.jpg', 'https://img03.platesmania.com/220105/inf/18258525036ae6.png']",01 H 900 JA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'Tashkent region']"
1226,"['https://img03.platesmania.com/220105/m/18258516.jpg', 'https://img03.platesmania.com/220105/inf/18258516143f2d.png']",10 U 900 RA,Chevrolet Damas,['Tashkent region']
1227,"['https://img03.platesmania.com/220105/m/18258482.jpg', 'https://img03.platesmania.com/220105/inf/1825848273e4c3.png']",10 Y 500 CA,Chevrolet Lacetti,['Tashkent']
1228,"['https://img03.platesmania.com/220105/m/18258466.jpg', 'https://img03.platesmania.com/220105/inf/18258466657df5.png']",10 O 500 TA,Chevrolet Lacetti,['Tashkent region']
1229,"['https://img03.platesmania.com/220105/m/18258446.jpg', 'https://img03.platesmania.com/220105/inf/1825844665ed34.png']",01 X 400 MB,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'Tashkent']"
1230,"['https://img03.platesmania.com/220105/m/18258384.jpg', 'https://img03.platesmania.com/220105/inf/18258384abd6f1.png']",30 X 333 VA,Ravon R4,['Tashkent']
1231,"['https://img03.platesmania.com/220105/m/18258368.jpg', 'https://img03.platesmania.com/220105/inf/1825836805d27d.png']",10 V 002 SA,Chevrolet Lacetti,['Tashkent region']
1232,"['https://img03.platesmania.com/220105/m/18258241.jpg', 'https://img03.platesmania.com/220105/inf/18258241a6c220.png']",10 G 001 QA,Chevrolet Tracker,"['3rd gen (U200), facelift, 2017-2022', 'Tashkent region']"
1233,"['https://img03.platesmania.com/220105/m/18258231.jpg', 'https://img03.platesmania.com/220105/inf/182582315867e2.png']",10 F 641 XA,BMW 3 Series,"['3rd gen Sedan (E36), 1990–1998', 'Tashkent region']"
1234,"['https://img03.platesmania.com/220105/m/18258217.jpg', 'https://img03.platesmania.com/220105/inf/18258217875865.png']",10 Y 846 SA,KIA Credos,"['Sedan, facelift, 1998–2001', 'Tashkent region Первый KIA Credos в узбекской галерее']"
1235,"['https://img03.platesmania.com/220105/m/18258207.jpg', 'https://img03.platesmania.com/220105/inf/18258207c9e6f7.png']",10 K 900 AA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1236,"['https://img03.platesmania.com/220105/m/18253790.jpg', 'https://img03.platesmania.com/220105/inf/18253790ba6155.png']",10 K 414 UA,Toyota Camry,"['6th gen (XV40), 2006–2011', 'Tashkent region']"
1237,"['https://img03.platesmania.com/220105/m/18253787.jpg', 'https://img03.platesmania.com/220105/inf/1825378773b6ab.png']",01 U 983 JB,Toyota Camry,"['6th gen (XV40), 2006–2011', 'Tashkent region']"
1238,"['https://img03.platesmania.com/220105/m/18253780.jpg', 'https://img03.platesmania.com/220105/inf/18253780c930e2.png']",60 L 333 QA,Ravon Gentra,['Tashkent region']
1239,"['https://img03.platesmania.com/220105/m/18253779.jpg', 'https://img03.platesmania.com/220105/inf/1825377961678c.png']",10 E 333 BA,Chevrolet Lacetti,['Tashkent region']
1240,"['https://img03.platesmania.com/220105/m/18253778.jpg', 'https://img03.platesmania.com/220105/inf/182537782414dd.png']",10 Q 222 PA,Chevrolet Lacetti,['Tashkent region']
1241,"['https://img03.platesmania.com/220105/m/18253777.jpg', 'https://img03.platesmania.com/220105/inf/18253777f79bce.png']",10 L 333 RA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'Tashkent region']"
1242,"['https://img03.platesmania.com/220105/m/18253776.jpg', 'https://img03.platesmania.com/220105/inf/18253776535a25.png']",01 O 300 BA,Chevrolet Lacetti,['Tashkent']
1243,"['https://img03.platesmania.com/220105/m/18253775.jpg', 'https://img03.platesmania.com/220105/inf/18253775bdd21e.png']",10 E 111 PA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent']"
1244,"['https://img03.platesmania.com/220105/m/18253754.jpg', 'https://img03.platesmania.com/220105/inf/1825375409e873.png']",01 F 009 MB,Chevrolet Lacetti,['Tashkent ']
1245,"['https://img03.platesmania.com/220105/m/18253753.jpg', 'https://img03.platesmania.com/220105/inf/18253753d435dd.png']",01 D 009 NA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1246,"['https://img03.platesmania.com/220105/m/18253752.jpg', 'https://img03.platesmania.com/220105/inf/1825375286ed60.png']",10 N 008 SA,Chevrolet Nexia,"['2nd gen (T250), 2016–', 'Tashkent region']"
1247,"['https://img03.platesmania.com/220105/m/18253750.jpg', 'https://img03.platesmania.com/220105/inf/182537508eb14a.png']",01 G 009 FB,Chevrolet Lacetti,['Tashkent']
1248,"['https://img03.platesmania.com/220105/m/18253749.jpg', 'https://img03.platesmania.com/220105/inf/18253749abe6a3.png']",10 R 005 PA,Chevrolet Lacetti,['Tashkent region']
1249,"['https://img03.platesmania.com/220105/m/18253748.jpg', 'https://img03.platesmania.com/220105/inf/182537481cbf3a.png']",01 M 008 SA,Chevrolet Damas,['Tashkent']
1250,"['https://img03.platesmania.com/220105/m/18253747.jpg', 'https://img03.platesmania.com/220105/inf/182537475b859d.png']",10 L 006 BA,Chevrolet Lacetti,['Tashkent']
1251,"['https://img03.platesmania.com/220105/m/18253746.jpg', 'https://img03.platesmania.com/220105/inf/1825374643a9bb.png']",10 M 005 CA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1252,"['https://img03.platesmania.com/220105/m/18253744.jpg', 'https://img03.platesmania.com/220105/inf/18253744c505b3.png']",01 C 004 NA,Chevrolet Lacetti,['Tashkent']
1253,"['https://img03.platesmania.com/220105/m/18253742.jpg', 'https://img03.platesmania.com/220105/inf/18253742ffe21c.png']",10 T 003 CA,Chevrolet Lacetti,['Tashkent']
1254,"['https://img03.platesmania.com/220105/m/18253726.jpg', 'https://img03.platesmania.com/220105/inf/1825372695c03d.png']",10 S 002 BA,Chevrolet Damas,['Tashkent region']
1255,"['https://img03.platesmania.com/220105/m/18253725.jpg', 'https://img03.platesmania.com/220105/inf/18253725f5d29f.png']",10 C 002 CA,Chevrolet Matiz,"['1st gen (M150), facelift, 2004\xad–2005 (\xad–2015 for UZ-market)', 'Tashkent region']"
1256,"['https://img03.platesmania.com/220105/m/18253724.jpg', 'https://img03.platesmania.com/220105/inf/18253724ee55f5.png']",70 Y 001 NA,Lada (VAZ) Vesta,"['SW (GFK), 2017–2022', 'Tashkent']"
1257,"['https://img03.platesmania.com/220105/m/18253682.jpg', 'https://img03.platesmania.com/220105/inf/182536829920e2.png']",01 C 710 UA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1258,"['https://img03.platesmania.com/220105/m/18253681.jpg', 'https://img03.platesmania.com/220105/inf/1825368123101d.png']",01 L 899 UA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1259,"['https://img03.platesmania.com/220105/m/18253680.jpg', 'https://img03.platesmania.com/220105/inf/18253680987688.png']",01 W 808 OA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1260,"['https://img03.platesmania.com/220105/m/18253679.jpg', 'https://img03.platesmania.com/220105/inf/18253679a05732.png']",01 V 755 DB,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1261,"['https://img03.platesmania.com/220105/m/18253677.jpg', 'https://img03.platesmania.com/220105/inf/18253677b5c896.png']",85 B 808 HA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent region']"
1262,"['https://img03.platesmania.com/220105/m/18253676.jpg', 'https://img03.platesmania.com/220105/inf/182536761f4883.png']",10 E 464 SA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent region']"
1263,"['https://img03.platesmania.com/220105/m/18253675.jpg', 'https://img03.platesmania.com/220105/inf/182536751805af.png']",10 J 404 MA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent region']"
1264,"['https://img03.platesmania.com/220105/m/18253674.jpg', 'https://img03.platesmania.com/220105/inf/18253674f89ac6.png']",10 U 355 QA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent region']"
1265,"['https://img03.platesmania.com/220105/m/18253673.jpg', 'https://img03.platesmania.com/220105/inf/18253673f35c60.png']",10 Q 020 QA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1266,"['https://img03.platesmania.com/220105/m/18253672.jpg', 'https://img03.platesmania.com/220105/inf/182536725ee46a.png']",10 L 011 FA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent region']"
1267,"['https://img03.platesmania.com/220105/m/18253665.jpg', 'https://img03.platesmania.com/220105/inf/182536653ed43f.png']",10 M 352 KA,Izh Москвич-412 (Moskvitch-412),"['412ИЭ-028, 1982–1999', 'Tashkent region']"
1268,"['https://img03.platesmania.com/220105/m/18253651.jpg', 'https://img03.platesmania.com/220105/inf/18253651ccdf79.png']",10 X 737 PA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1269,"['https://img03.platesmania.com/220105/m/18253650.jpg', 'https://img03.platesmania.com/220105/inf/1825365051dd76.png']",01 X 986 PA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent region']"
1270,"['https://img03.platesmania.com/220105/m/18253649.jpg', 'https://img03.platesmania.com/220105/inf/182536490f7662.png']",01 E 834 WA,Lada (VAZ) 2121 Нива,"['21213/21214 (Legend), 1993\xad–', 'Tashkent region']"
1271,"['https://img03.platesmania.com/220105/m/18253648.jpg', 'https://img03.platesmania.com/220105/inf/18253648e4f129.png']",25 V 007 GA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent region']"
1272,"['https://img03.platesmania.com/220105/m/18253644.jpg', 'https://img03.platesmania.com/220105/inf/182536444a0e10.png']",10 E 602 XA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1273,"['https://img03.platesmania.com/220105/m/18253643.jpg', 'https://img03.platesmania.com/220105/inf/18253643c6f15a.png']",25 X 073 GA,Chevrolet Lacetti,['Tashkent region']
1274,"['https://img03.platesmania.com/220104/m/18248182.jpg', 'https://img03.platesmania.com/220104/inf/18248182c7d366.png']",10 C 417 XA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent region']"
1275,"['https://img03.platesmania.com/220102/m/18232888.jpg', 'https://img03.platesmania.com/220102/inf/18232888e6e505.png']",10 P 502 DA,Lada (VAZ) 2107,['Tashkent region']
1276,"['https://img03.platesmania.com/220102/m/18232883.jpg', 'https://img03.platesmania.com/220102/inf/18232883dfbd34.png']",01 V 466 EA,Lada (VAZ) 2107,['Tashkent region']
1277,"['https://img03.platesmania.com/211219/m/18161373.jpg', 'https://img03.platesmania.com/211219/inf/18161373983114.png']",01 B 012 BB,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent']"
1278,"['https://img03.platesmania.com/211205/m/18082073.jpg', 'https://img03.platesmania.com/211205/inf/1808207338148c.png']",01 N 985 VA,Chevrolet Lacetti,['Tashkent']
1279,"['https://img03.platesmania.com/211205/m/18082067.jpg', 'https://img03.platesmania.com/211205/inf/18082067b6d399.png']",10 W 091 QA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'Tashkent region']"
1280,"['https://img03.platesmania.com/211205/m/18081883.jpg', 'https://img03.platesmania.com/211206/inf/1808188317f279.png']",01 N 064 GA,Daewoo Matiz,['Tashkent']
1281,"['https://img03.platesmania.com/211205/m/18081880.jpg', 'https://img03.platesmania.com/211205/inf/18081880ff1aa2.png']",10 N 811 NA,Chevrolet Lacetti,['Tashkent']
1282,"['https://img03.platesmania.com/211205/m/18081733.jpg', 'https://img03.platesmania.com/211205/inf/180817336469c6.png']",01 C 967 XA,Chevrolet Nexia,"['1st gen, 2008–2016', 'Tashkent']"
1283,"['https://img03.platesmania.com/211205/m/18081666.jpg', 'https://img03.platesmania.com/211205/inf/180816660e73e1.png']",01 J 985 XA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'Tashkent']"
1284,"['https://img03.platesmania.com/211203/m/18068169.jpg', 'https://img03.platesmania.com/211203/inf/18068169b443db.png']",10 Y 526 WA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1285,"['https://img03.platesmania.com/211128/m/18038335.jpg', 'https://img03.platesmania.com/211128/inf/18038335cf4164.png']",10 J 666 BA,Chevrolet Lacetti,['Tashkent region']
1286,"['https://img03.platesmania.com/211128/m/18038329.jpg', 'https://img03.platesmania.com/211128/inf/18038329b35ef3.png']",10 N 305 AA,Daewoo Matiz,['Tashkent region']
1287,"['https://img03.platesmania.com/211128/m/18038317.jpg', 'https://img03.platesmania.com/211128/inf/18038317691454.png']",10 C 081 VA,Chevrolet Captiva,['Tashkent region']
1288,"['https://img03.platesmania.com/211128/m/18038308.jpg', 'https://img03.platesmania.com/211128/inf/1803830876743f.png']",10 W 579 WA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1289,"['https://img03.platesmania.com/211128/m/18038298.jpg', 'https://img03.platesmania.com/211128/inf/18038298c7cf2d.png']",30 H 824 RA,Chevrolet Nexia,"['1st gen, 2008–2016', 'Tashkent region']"
1290,"['https://img03.platesmania.com/211106/m/17904943.jpg', 'https://img03.platesmania.com/211106/inf/17904943c3756e.png']",10 L 500 AA,Chevrolet Nexia,"['2nd gen (T250), 2016–', 'Tashkent region']"
1291,"['https://img03.platesmania.com/211106/m/17904910.jpg', 'https://img03.platesmania.com/211106/inf/17904910f9c196.png']",10 L 100 AA,Chevrolet Lacetti,['Tashkent region']
1292,"['https://img03.platesmania.com/211104/m/17890681.jpg', 'https://img03.platesmania.com/211104/inf/17890681280db8.png']",10 Q 707 GA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
1293,"['https://img03.platesmania.com/211104/m/17890676.jpg', 'https://img03.platesmania.com/211104/inf/17890676163f5a.png']",10 H 787 JA,Chevrolet Captiva,"['1st gen (C100), 2006–2011', 'Tashkent region']"
1294,"['https://img03.platesmania.com/211104/m/17890672.jpg', 'https://img03.platesmania.com/211104/inf/17890672103ed2.png']",01 Q 057 ZA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
1295,"['https://img03.platesmania.com/211104/m/17890664.jpg', 'https://img03.platesmania.com/211104/inf/178906640505fc.png']",10 L 077 SA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
1296,"['https://img03.platesmania.com/211104/m/17890657.jpg', 'https://img03.platesmania.com/211104/inf/178906577bc89f.png']",01 L 989 QA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
1297,"['https://img03.platesmania.com/211104/m/17890654.jpg', 'https://img03.platesmania.com/211104/inf/178906546d602e.png']",10 A 040 RA,Chevrolet Captiva,"['1st gen (C100), 2006–2011', 'Tashkent region']"
1298,"['https://img03.platesmania.com/211104/m/17890651.jpg', 'https://img03.platesmania.com/211104/inf/17890651d442d9.png']",01 Z 616 BB,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
1299,"['https://img03.platesmania.com/211104/m/17890643.jpg', 'https://img03.platesmania.com/211104/inf/1789064397c1e9.png']",01 E 509 DB,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
1300,"['https://img03.platesmania.com/211104/m/17890505.jpg', 'https://img03.platesmania.com/211104/inf/1789050572de17.png']",10 H 630 RA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1301,"['https://img03.platesmania.com/211104/m/17890498.jpg', 'https://img03.platesmania.com/211104/inf/178904989149f8.png']",10 H 693 RA,Daewoo Nexia,"['1st gen, 1994-2008', 'Tashkent region']"
1302,"['https://img03.platesmania.com/211102/m/17879087.jpg', 'https://img03.platesmania.com/211102/inf/1787908702f060.png']",01 P 990 EA,Chevrolet Epica,['Tashkent region']
1303,"['https://img03.platesmania.com/211102/m/17879084.jpg', 'https://img03.platesmania.com/211102/inf/1787908465bf16.png']",10 X 917 MA,Chevrolet Epica,['Tashkent region']
1304,"['https://img03.platesmania.com/211102/m/17879083.jpg', 'https://img03.platesmania.com/211102/inf/178790837aaa62.png']",10 J 709 UA,Chevrolet Epica,['Tashkent region']
1305,"['https://img03.platesmania.com/211102/m/17879082.jpg', 'https://img03.platesmania.com/211102/inf/17879082bf6460.png']",10 O 378 RA,Chevrolet Epica,['Tashkent region']
1306,"['https://img03.platesmania.com/211102/m/17879081.jpg', 'https://img03.platesmania.com/211102/inf/17879081e057bf.png']",01 M 080 XA,Chevrolet Epica,['Tashkent region']
1307,"['https://img03.platesmania.com/211102/m/17879080.jpg', 'https://img03.platesmania.com/211102/inf/178790807015e8.png']",10 P 289 UA,Chevrolet Epica,['Tashkent region']
1308,"['https://img03.platesmania.com/211028/m/17848358.jpg', 'https://img03.platesmania.com/211028/inf/178483583802fe.png']",10 L 996 QA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
1309,"['https://img03.platesmania.com/211028/m/17848345.jpg', 'https://img03.platesmania.com/211028/inf/17848345daef0a.png']",10 P 077 LA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent']"
1310,"['https://img03.platesmania.com/211028/m/17848313.jpg', 'https://img03.platesmania.com/211028/inf/17848313d36cde.png']",10 F 505 BA,Chevrolet Lacetti,['Tashkent region']
1311,"['https://img03.platesmania.com/211028/m/17848256.jpg', 'https://img03.platesmania.com/211028/inf/178482563eb594.png']",10 P 721 QA,Chevrolet Epica,['Tashkent']
1312,"['https://img03.platesmania.com/211028/m/17848212.jpg', 'https://img03.platesmania.com/211028/inf/17848212232af9.png']",01 D 707 WA,Chevrolet Lacetti,['Tashkent']
1313,"['https://img03.platesmania.com/211028/m/17848197.jpg', 'https://img03.platesmania.com/211028/inf/178481975a43b0.png']",10 R 615 QA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent']"
1314,"['https://img03.platesmania.com/211028/m/17848181.jpg', 'https://img03.platesmania.com/211028/inf/178481814c5501.png']",01 U 268 MB,Chevrolet Damas,['Tashkent']
1315,"['https://img03.platesmania.com/211028/m/17848161.jpg', 'https://img03.platesmania.com/211028/inf/17848161d7f6e0.png']",70 G 915 OA,Chevrolet Epica,['Tashkent']
1316,"['https://img03.platesmania.com/211028/m/17848147.jpg', 'https://img03.platesmania.com/211028/inf/17848147af48c0.png']",01 Y 492 SA,Chevrolet Lacetti,['Tashkent']
1317,"['https://img03.platesmania.com/211028/m/17848121.jpg', 'https://img03.platesmania.com/211028/inf/17848121fcd16b.png']",10 A 313 AA,Chevrolet Nexia,"['2nd gen (T250), 2016–', 'Tashkent']"
1318,"['https://img03.platesmania.com/211028/m/17848089.jpg', 'https://img03.platesmania.com/211028/inf/17848089056ae5.png']",50 N 304 QA,Chevrolet Malibu,"['5th gen, 2011–2016', 'Tashkent']"
1319,"['https://img03.platesmania.com/211028/m/17848056.jpg', 'https://img03.platesmania.com/211028/inf/17848056312252.png']",01 A 247 MB,Ford Fiesta Courier,"['1st gen, 1991-1996', 'Tashkent']"
1320,"['https://img03.platesmania.com/211028/m/17848041.jpg', 'https://img03.platesmania.com/211028/inf/17848041ad9abf.png']",01 S 010 GB,Daewoo Nexia,"['1st gen, 1994-2008', 'Tashkent region']"
1321,"['https://img03.platesmania.com/211028/m/17848020.jpg', 'https://img03.platesmania.com/211028/inf/17848020d79735.png']",60 Q 070 OA,Chevrolet Tracker,"['3rd gen (U200), facelift, 2017-2022', 'Tashkent']"
1322,"['https://img03.platesmania.com/211028/m/17847977.jpg', 'https://img03.platesmania.com/211028/inf/1784797718323f.png']",10 F 003 CA,Chevrolet Lacetti,['Tashkent region']
1323,"['https://img03.platesmania.com/211028/m/17847919.jpg', 'https://img03.platesmania.com/211028/inf/17847919449d6e.png']",10 A 664 AA,Chevrolet Nexia,"['1st gen, 2008–2016', 'Tashkent region']"
1324,"['https://img03.platesmania.com/211028/m/17847901.jpg', 'https://img03.platesmania.com/211028/inf/17847901dc78f2.png']",01 A 115 AA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent']"
1325,"['https://img03.platesmania.com/211028/m/17847883.jpg', 'https://img03.platesmania.com/211028/inf/178478831f86e6.png']",01 B 750 MB,Hyundai Sonata,"['8th gen (DN8), 2019–', 'Tashkent']"
1326,"['https://img03.platesmania.com/211028/m/17847860.jpg', 'https://img03.platesmania.com/211028/inf/178478607279d2.png']",01 N 999 AA,KIA K5,"['3rd gen, 2020–', 'Tashkent']"
1327,"['https://img03.platesmania.com/211028/m/17847849.jpg', 'https://img03.platesmania.com/211028/inf/17847849621531.png']",10 K 444 AA,KIA K5,"['3rd gen, 2020–', 'Tashkent region']"
1328,"['https://img03.platesmania.com/211028/m/17844125.jpg', 'https://img03.platesmania.com/211028/inf/178441253a251c.png']",10 V 851 WA,GAZ 3110 Волга,['Tashkent region']
1329,"['https://img03.platesmania.com/211028/m/17844110.jpg', 'https://img03.platesmania.com/211028/inf/178441103bf134.png']",10 H 666 AA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'Tashkent region']"
